Tahun,Bulan,Curah_Hujan,Suhu,Produksi
2017,1,23.0,26.1,5.80
2017,2,24.0,25.7,5.80
2017,3,27.0,25.9,5.80
2017,4,27.0,25.9,5.80
2017,5,18.0,26.2,5.80
2017,6,17.0,25.6,5.80
2017,7,14.0,25.5,5.80
2017,8,6.0,25.7,5.80
2017,9,12.0,25.6,5.80
2017,10,24.0,24.9,5.80
2017,11,24.0,25.2,5.80
2017,12,20.0,26.2,5.80
2018,1,191.0,23.3,5.80
2018,2,239.3,23.6,5.80
2018,3,292.0,23.6,5.80
2018,4,297.6,23.8,5.80
2018,5,123.9,23.7,5.80
2018,6,33.4,23.7,5.80
2018,7,0.3,22.9,5.80
2018,8,38.9,23.3,5.80
2018,9,40.8,23.7,5.80
2018,10,124.8,24.2,5.80
2018,11,483.2,23.7,5.80
2018,12,323.5,23.7,5.80
2019,1,293.25,25.675,6.81
2019,2,353.75,25.725,7.27
2019,3,240.5,25.6,8.25
2019,4,450.25,26.625,7.2
2019,5,212.0,26.55,7.44
2019,6,56.5,26.35,7.59
2019,7,25.25,26.225,7.35
2019,8,47.25,25.675,7.84
2019,9,53.25,26.175,5.94
2019,10,161.5,26.775,6.95
2019,11,203.25,26.55,7.41
2019,12,393.25,25.775,8.27
2020,1,279.0,25.2,8.76
2020,2,228.0,32.4,6.45
2020,3,146.0,30.7,5.59
2020,4,251.0,32.0,6.96
2020,5,303.0,29.3,8.13
2020,6,90.0,29.7,4.69
2020,7,286.0,29.0,7.58
2020,8,204.0,28.6,6.78
2020,9,250.0,28.4,7.87
2020,10,316.0,28.1,8.52
2020,11,157.0,31.1,5.31
2020,12,213.0,32.2,6.19
2021,1,316.0,23.8,8.11
2021,2,274.0,22.6,6.92
2021,3,243.0,24.425,7.75
2021,4,293.0,24.925,8.28
2021,5,124.0,25.35,7.04
2021,6,124.0,24.475,6.1
2021,7,195.0,23.8,6.36
2021,8,295.0,24.7,7.96
2021,9,219.0,24.625,6.93
2021,10,316.0,24.825,8.54
2021,11,216.0,24.45,7.13
2021,12,121.0,24.125,6.14
2022,1,151.25,25.975,8.78
2022,2,231.625,25.575,5.46
2022,3,271.275,24.8,7.01
2022,4,384.95,25.725,6.67
2022,5,190.35,24.95,5.32
2022,6,243.325,24.925,6.48
2022,7,191.65,24.225,5.97
2022,8,171.425,24.125,8.1
2022,9,200.85,24.375,6.73
2022,10,428.675,25.325,6.6
2022,11,321.75,24.45,6.99
2022,12,290.75,24.45,8.64
2023,1,306.0,28.0,8.29
2023,2,108.0,24.5,6.89
2023,3,138.0,30.8,5.48
2023,4,175.0,28.5,6.26
2023,5,157.0,26.3,6.79
2023,6,126.0,30.3,5.98
2023,7,209.0,30.1,6.21
2023,8,278.0,31.0,7.25
2023,9,215.0,25.9,7.72
2023,10,90.0,28.4,5.46
2023,11,106.0,26.5,5.87
2023,12,262.0,24.0,8.41
2024,1,180.0,25.2,7.36
2024,2,241.0,26.6,7.79
2024,3,252.0,29.0,7.42
2024,4,103.0,24.9,6.58
2024,5,148.0,29.1,5.77
2024,6,246.0,25.3,8.31
2024,7,295.0,27.7,8.03
2024,8,311.0,30.0,8.26
2024,9,319.0,24.1,9.2
2024,10,266.0,30.3,7.36
2024,11,168.0,33.0,5.76
2024,12,131.0,25.5,7.15
